GUID,Id,Name,Language
220,34000220,Габровница,bg
221,34000221,Ябълково,bg
222,34000222,Въглен,bg
223,34000223,Вардун,bg
224,34000224,Горни Богров,bg
225,34000225,Марчаево,bg
226,34000226,Зайчар,bg
227,34000227,Баница,bg
228,34000228,Войводово,bg
229,34000229,Малево,bg
230,34000230,Опълченско,bg
231,34000231,Семерджиево,bg
232,34000232,Звездица,bg
233,34000233,Маринка,bg
234,34000234,Гюльовца,bg
235,34000235,Глухар,bg
236,34000236,Бобошево,bg
237,34000237,Хаджиево,bg
238,34000238,Ваклиново,bg
239,34000239,Писарево,bg
240,34000240,Върбица,bg
241,34000241,Кладница,bg
242,34000242,Долен,bg
243,34000243,Паталеница,bg
244,34000244,Горски Извор,bg
245,34000245,Стефаново,bg
246,34000246,Борово,bg
247,34000247,Добромир,bg
248,34000248,Снягово,bg
249,34000249,Войсил,bg
250,34000250,Червен бряг,bg
251,34000251,Вресово,bg
252,34000252,Кадиево,bg
253,34000253,Виница,bg
254,34000254,Изворско,bg
255,34000255,Мортагоново,bg
256,34000256,Доброславци,bg
257,34000001,Sofia,de
258,34000002,Varna,de
259,34000003,Plowdiw,de
260,34000004,Burgas,de
261,34000005,Ruse,de
262,34000006,Stara Sagora,de
263,34000007,Pleven,de
264,34000008,Sliven,de
265,34000009,Pernik,de
266,34000010,Pazardzhik,de
267,34000011,Dobrich,de
268,34000012,Schumen,de
269,34000013,Chaskowo,de
270,34000014,Weliko Tarnowo,de
271,34000015,Blagoevgrad,de
272,34000016,Yambol,de
273,34000017,Kasanlak,de
274,34000018,Asenowgrad,de
275,34000019,Kjustendil,de
276,34000020,Wratza,de
277,34000021,Gabrowo,de
278,34000022,Targowische,de
279,34000023,Kardschali,de
280,34000024,Widin,de
281,34000025,Rasgrad,de
282,34000026,Swischtow,de
283,34000027,Silistra,de
284,34000028,Dupniza,de
285,34000029,Montana,de
286,34000030,Lowetsch,de
287,34000031,Dimitrowgrad,de
288,34000032,Smoljan,de
289,34000033,Gorna Orjachowiza,de
290,34000034,Petrich,de
291,34000035,Gotse Deltschew,de
292,34000036,Ajtos,de
293,34000037,Rakowski,de
294,34000038,Omurtag,de
295,34000039,Welingrad,de
296,34000040,Isperich,de
297,34000041,Lom,de
298,34000042,Karlowo,de
299,34000043,Panagjurischte,de
300,34000044,Botewgrad,de
301,34000045,Peschtera,de
302,34000046,Weliki Preslaw,de
303,34000047,Pomorie,de
304,34000048,Nesebar,de
305,34000049,Ljaskowetz,de
306,34000050,Nowi Pazar,de
307,34000051,Prowadija,de
308,34000052,Raslog,de
309,34000053,Slatograd,de
310,34000054,Kosluduj,de
311,34000055,Kostinbrod,de
312,34000056,Bankja,de
313,34000057,Stamboliyski,de
314,34000058,Etropole,de
315,34000059,Momtschilgrad,de
316,34000060,Devnja,de
317,34000061,Rakitowo,de
318,34000062,Sopot,de
319,34000063,Septemwri,de
320,34000064,Kritchim,de
321,34000065,Byala,de
322,34000066,Aksakowo,de
323,34000067,Beloslaw,de
324,34000068,Elin Pelin,de
325,34000069,Slawnitza,de
326,34000070,Madan,de
327,34000071,Aydemir,de
328,34000072,Dewin,de
329,34000073,Lozen,de
330,34000074,Warschets,de
331,34000075,Saedinenie,de
332,34000076,Bistritza,de
333,34000077,Boshurischte,de
334,34000078,Suoworowo,de
335,34000079,Peruschtsitza,de
336,34000080,Dolna Banja,de
337,34000081,Wetowo,de
338,34000082,Kasitschene,de
339,34000083,Ignatiewo,de
